datetime,open,high,low,close,volume,MA7,MA14,MA_Signal,Aroon_Up,Aroon_Down,Aroon_Signal,RSI_14,RSI_Signal,returns,EMA7,EMA14,EMA28,EMA_Signal,pct_change,signals,trade_type
2023-01-01 14:00:00,1195.0,1195.78,1194.04,1194.46,33373.65,1195.8385714285716,1195.297142857143,1,14.285714285714286,71.42857142857143,-1,51.82809493264894,0,-0.0004436167391590669,1195.4836598401146,1195.259247050202,1194.842090116613,1,-0.04435183558021416,0, 
2023-01-01 15:00:00,1194.46,1196.71,1193.86,1196.52,35893.873,1196.18,1195.3228571428572,1,21.428571428571427,78.57142857142857,-1,51.17035110533128,0,0.001723143238100266,1195.7427448800859,1195.4273474435086,1194.9578080396052,1,0.17246287025098894,0, 
2023-01-01 16:00:00,1196.51,1198.02,1195.5,1197.03,66335.813,1196.2485714285715,1195.4235714285714,1,28.571428571428573,85.71428571428571,-1,54.59283387622186,0,0.00042614527184970974,1196.0645586600644,1195.641034451041,1195.1007178299772,1,0.042623608464542606,0, 
2023-01-01 17:00:00,1197.02,1203.83,1196.94,1200.34,164414.199,1196.7014285714286,1195.8728571428571,1,0.0,92.85714285714286,-1,68.40257460503241,0,0.002761361077564691,1197.1334189950483,1196.2675631909021,1195.4620476348064,1,0.27651771467716024,0, 
2023-01-01 18:00:00,1200.34,1202.93,1200.34,1200.71,67473.734,1197.3171428571427,1196.4185714285716,1,7.142857142857143,100.0,-1,73.17961165048604,0,0.0003081984989308057,1198.0275642462861,1196.8598880987818,1195.82397538413,1,0.030824599696765986,0, 
2023-01-01 19:00:00,1200.71,1204.67,1200.7,1201.47,82461.958,1197.9314285714286,1196.9114285714284,1,0.0,100.0,-1,71.91867852604888,0,0.0006327585987373816,1198.8881731847146,1197.4745696856107,1196.213356392121,1,0.06329588326905444,0, 
2023-01-01 20:00:00,1201.47,1204.79,1200.96,1201.03,51869.207,1198.7942857142857,1197.3600000000001,1,0.0,50.0,-1,69.6250000000002,0,-0.00036628512376232205,1199.423629888536,1197.9486270608627,1196.545538709906,1,-0.03662180495560552,0, 
2023-01-01 21:00:00,1201.03,1202.89,1200.12,1202.59,39723.438,1199.9557142857143,1197.8971428571429,1,7.142857142857143,57.142857142857146,-1,71.80974477958259,0,0.0012980423020600212,1200.215222416402,1198.567476786081,1196.9623981092227,1,0.12988851236022114,0, 
2023-01-01 22:00:00,1202.59,1202.93,1200.0,1200.69,37623.537,1200.5514285714285,1198.3657142857141,1,14.285714285714286,64.28571428571429,-1,68.02197802197806,0,-0.0015811727271479745,1200.3339168123016,1198.8504798812703,1197.21947410169,1,-0.15799233321412975,0, 
2023-01-01 23:00:00,1200.69,1202.52,1198.71,1199.96,70013.523,1200.9699999999998,1198.6092857142855,1,21.428571428571427,71.42857142857143,-1,60.327074500303105,0,-0.0006081686397437588,1200.2404376092263,1198.998415897101,1197.4084758877802,1,-0.06079837426813395,0, 
2023-01-02 00:00:00,1199.96,1200.83,1197.0,1197.78,76823.734,1200.6042857142857,1198.652857142857,1,28.571428571428573,78.57142857142857,-1,51.68788046485861,0,-0.0018183794745732073,1199.6253282069197,1198.8359604441541,1197.434098240347,1,-0.1816727224240866,0, 
2023-01-02 01:00:00,1197.78,1197.85,1191.5,1194.55,179325.09,1199.7242857142858,1198.5207142857143,1,35.714285714285715,0.0,1,45.49439844130507,0,-0.002700298004587986,1198.3564961551897,1198.2644990516003,1197.2351949134265,1,-0.26966554793034225,0, 
2023-01-02 02:00:00,1194.55,1197.12,1193.73,1196.37,47874.956,1198.9957142857143,1198.4635714285712,1,42.857142857142854,7.142857142857143,1,48.146431881371214,0,0.0015224268076978568,1197.8598721163921,1198.0118991780537,1197.1755262987074,0,0.1523586287723422,0, 
2023-01-02 03:00:00,1196.36,1203.32,1196.08,1201.42,118094.32,1199.0514285714285,1198.922857142857,1,50.0,14.285714285714286,1,63.14928425357884,0,0.004212218306651207,1198.749904087294,1198.4663126209798,1197.4682486229344,1,0.4221102167389912,0, 
2023-01-02 04:00:00,1201.43,1202.49,1199.12,1201.27,80557.305,1198.8628571428574,1199.4092857142857,-1,57.142857142857146,21.428571428571427,1,64.14624013294537,0,-0.00012486005285325941,1199.3799280654705,1198.8401376048491,1197.7304383730768,1,-0.012485225816127876,0, 
2023-01-02 05:00:00,1201.26,1202.74,1199.52,1201.91,62857.355,1199.037142857143,1199.7942857142857,-1,64.28571428571429,28.571428571428573,1,61.89845474613693,0,0.0005326276143530059,1200.012446049103,1199.2494525908694,1198.0186840025199,1,0.053276948562785975,0, 
